trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997}",25,0,-115.93976699027307,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.994009}",30,13,-102.07796558680326,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.991026973}",30,0,-84.1623511356637,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.988053892081}",25,0,-187.26318041271358,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.985089730404757}",25,0,-154.998527803542,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9821344612135428}",25,0,-45.84639694801607,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9791880578299021}",20,0,-168.2291950304989,"{0: 9, 1: 2, 2: 3, 3: 5, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9762504936564125}",25,0,-198.20205340174883,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9733217421754432}",20,0,-111.62677605550164,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9704017769489168}",20,2,-31.34726993365328,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9674905716180701}",20,0,-9.324260133665456,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9645880999032158}",25,0,-124.70329342790085,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9616943356035061}",25,0,-96.61833163922812,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9588092525966956}",20,0,-57.38789639115272,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9559328248389055}",20,0,-161.92486353704172,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9530650263643888}",25,0,-65.43238187662693,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9502058312852957}",20,0,-73.16163111508496,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9473552137914398}",25,0,-137.13932826711616,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9445131481500655}",30,0,-161.8726848913519,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.9416796087056153}",25,0,-229.45060367674503,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9388545698794984}",25,2,-45.362829698066676,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.93603800616986}",20,0,-56.25291596627617,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9332298921513504}",25,0,-70.03316652401637,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9304302024748964}",25,0,-52.46605952197328,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9276389118674717}",25,0,-3.915133621975613,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9248559951318693}",20,0,-42.674447996275184,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9220814271464737}",20,0,-86.74511905044675,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.9193151828650342}",20,0,-121.57886984451281,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9165572373164391}",20,0,0.4033249080664255,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9138075656044898}",25,0,-110.09772453690553,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9110661429076764}",30,1,-97.72590933135966,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.9083329444789534}",25,10,-208.45445495045405,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 5}",1
33,False,"{'a': 0.5, 'e': 0.9056079456455165}",25,0,-248.90907384119737,"{0: 9, 1: 4, 2: 8, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.90289112180858}",30,0,-174.384950554351,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9001824484431542}",30,0,-111.59267373826286,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.8974819010978248}",20,0,-164.190698773398,"{0: 11, 1: 4, 2: 0, 3: 2, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.8947894553945313}",25,0,-73.52168961456064,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8921050870283477}",20,3,-109.83614197393048,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.8894287717672626}",30,0,-139.25782652287083,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8867604854519608}",20,0,-240.03320683267796,"{0: 7, 1: 1, 2: 6, 3: 3, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.884100203995605}",20,0,-31.63987369236444,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.8814479033836181}",25,0,-134.7515900641605,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
