trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-157.35693686849692,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-173.0739895926397,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-31.008959760003485,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.90378239588641,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,11,-85.19001663576053,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-61.40811728587497,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-115.48589633193441,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-31.423639492517182,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-18.855724054280852,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-83.4498416528717,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-24.996873829684734,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-31.530037241771534,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,25.674780488474948,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-42.46743684623311,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-73.89444366118961,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,31.75438593205888,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,25.69998317930728,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,6,-24.02486645363712,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,23.061093603438376,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,29.582391082411203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,18.11763954485865,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,4,34.70091154391062,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,14,11.574757880045825,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,0,35.5237037972822,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,3,40.507232814615826,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,32.313263816618374,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,31.289924570987875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,7,7.172746161749239,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,14,18.48854777184043,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,0,40.40577625767878,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
