trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-143.24326149612526,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-171.85903422455854,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",30,0,-108.78600303383715,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-134.13797909620578,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-81.9127851640433,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-126.6289280641936,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-91.2822145692339,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-44.161282821868824,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-104.76034692553085,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-103.34570163312384,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,10,-36.28710600743153,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",25,0,-142.36717171622067,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-124.24949583731514,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",25,0,-119.95435312117094,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",25,0,-89.34138669310852,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",30,0,-86.7027081961398,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-160.6567261315715,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",30,0,-55.380943709800974,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-103.35779978363965,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",35,16,-49.51673604861101,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-44.78166579604025,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",25,0,-91.70027972532863,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-185.51845394213703,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-73.90733908419665,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",35,9,-141.3070429073532,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-145.1041037518092,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-12.370679689316566,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",30,3,-61.00465844065468,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-36.52340278803703,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,6,-63.21787838155592,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,0,4.74971127050217,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-35.660452482517144,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",25,0,-103.76573466277857,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",30,0,-7.3328781965691014,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",35,0,-183.40189010699197,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,14,-39.869579525328064,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-166.37348378286762,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-114.44526771881227,"{0: 18, 1: 2, 2: 0, 3: 4, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,3,-28.613886263068174,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,-44.79529409612486,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,9,-4.962770815791928,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,0,-101.95545598255504,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,7,-50.64235231929343,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-85.70873082139993,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,3,-64.94484001954727,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,0,-63.430414645097756,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,9,4.882732985007315,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-44.05915735464548,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",30,0,-135.68649079981225,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,15,-6.7371639975262045,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",20,0,-14.333448665025387,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,10,-5.734969418939829,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,6,12.775745544381024,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,6,-17.794393181195765,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,0,15.618847819204044,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,0,-33.967253238334635,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",20,0,-11.795960145902498,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",20,2,-1.4119105441647524,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-49.54083273786304,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-77.67757587597644,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,8,-19.07806372229928,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,0,-40.25903886327978,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,9,18.896142071034312,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,11,14.667694254460482,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,12,1.4452545504198202,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-78.1405198618157,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,15,6.493909534335231,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,7,-64.44187210326446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-28.086439382940174,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",30,0,-11.09206790206183,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,0,-107.45053297009818,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-14.67125075013607,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",35,18,-50.05633514453933,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,0,-67.09638750501155,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.47058664158564995}",20,5,-11.715571300296457,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4658807751697934}",25,8,24.144523114104967,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.4612219674180955}",25,3,-58.528499026048934,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.45660974774391455}",20,0,17.564986240095315,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.4520436502664754}",35,15,22.413781410739727,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44752321376381066}",20,13,8.458739834267071,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617254}",20,0,-37.5173381112374,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.4386175018099108}",30,13,4.665038402518966,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.4342313267918117}",20,0,4.696638508228852,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
