trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,0,-21.15822999834957,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.3, 'e': 0.20189651799465538}",25,0,-106.79534359022945,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.09071795328941247}",25,0,15.359230838893927,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.04076220397836621}",25,20,11.001292061960498,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.3, 'e': 0.01831563888873418}",20,0,13.559182552967002,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.008229747049020023}",25,0,39.17634289867106,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.003697863716482929}",25,0,35.75941684335263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.001661557273173934}",25,12,21.951960047928615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.0007465858083766792}",25,0,29.33427466575435,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.00033546262790251185}",20,0,-15.985015225080918,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.0001507330750954765}",25,0,-58.92290826734014,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.3, 'e': 6.772873649085378e-05}",25,20,12.220212712589532,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 3.0432483008403625e-05}",30,11,29.430804894589436,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
