trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.8}",30,0,-95.88078045498749,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.6400000000000001}",25,0,-72.67321166577639,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.5120000000000001}",20,0,-46.3453583947558,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.40960000000000013}",25,0,-118.50209554225104,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.32768000000000014}",20,12,-31.427309686583477,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.2621440000000001}",20,12,12.992850007458184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.2097152000000001}",20,0,-17.92417303401329,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.1677721600000001}",20,0,-0.06579593471696721,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.13421772800000006}",20,1,-38.5949581386101,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.3, 'e': 0.10737418240000006}",20,5,-9.12433296181907,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.08589934592000005}",25,0,31.55256704676033,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.06871947673600004}",20,0,15.944509595522703,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.054975581388800036}",20,14,11.642966787586667,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.043980465111040035}",30,0,35.603296012973324,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.03518437208883203}",30,17,25.305098971532512,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.3, 'e': 0.028147497671065627}",30,14,23.325324071314455,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.022517998136852502}",20,0,24.7457841258648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.018014398509482003}",20,3,28.010899269409304,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.3, 'e': 0.014411518807585602}",35,10,18.56352908177204,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.3, 'e': 0.011529215046068483}",25,0,33.0533967911337,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.3, 'e': 0.009223372036854787}",20,12,12.493058401720022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
