trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",20,0,-191.31048740923592,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.25}",20,6,5.007544357731566,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.3, 'e': 0.1111111111111111}",25,0,-86.76343055594421,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.0625}",25,0,-115.47498160830919,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.04}",20,0,-9.934983419092056,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.027777777777777776}",20,0,-13.31802775003312,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.02040816326530612}",20,0,25.382856580690202,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.015625}",25,0,-34.21952999846455,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.012345679012345678}",25,0,13.472307079863043,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.01}",35,0,35.062771665472496,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.008264462809917356}",20,0,23.076355495646197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.006944444444444444}",25,0,-11.734273718618446,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.005917159763313609}",25,0,19.64034864944125,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.00510204081632653}",25,0,31.60977212378713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.0044444444444444444}",30,0,44.39959091350356,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.00390625}",25,0,8.306499270461352,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.0034602076124567475}",25,0,14.292069780930735,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.0030864197530864196}",25,0,34.83320278688129,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.002770083102493075}",20,0,22.12087982779143,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.0025}",20,0,19.41426438716706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.05403187368524,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-12.054456061194973,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,15.36674060985541,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,33.554644147096006,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,23.014593614767556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,35.7500672459309,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,44.52747129603888,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,26.047405084933327,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,33.53625226251194,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,34.35851112028581,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,15.15844634039942,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,31.29143418384775,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,0,32.56008421582654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.0, 'e': 0.0}",25,0,31.08390539076471,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",20,0,25.737188918819875,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,0,27.867941966690534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",30,0,-4.4608650980840014,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,True,"{'a': 0.0, 'e': 0.0}",30,0,18.646270949258557,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,23.238927753659986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,0,28.908870607820997,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.976926986314263,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
22,True,"{'a': 0.0, 'e': 0.0}",25,0,21.041078958627764,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,True,"{'a': 0.0, 'e': 0.0}",20,0,27.455901969518308,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,0,28.4389107539828,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",30,0,45.985203298171264,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",35,0,43.5697203143732,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,0,27.956540125321798,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,28.163462670918943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,0,35.754089383030305,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0.0, 'e': 0.0}",25,0,29.244517559873586,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,-5.025490866837463,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,25.537459967278945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,0,35.959104402336834,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",25,0,34.66188735125548,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.0, 'e': 0.0}",25,0,30.297736303905232,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,0,-17.224048873285266,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,True,"{'a': 0.0, 'e': 0.0}",25,13,14.800474383831027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,0,21.99356328745584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0.0, 'e': 0.0}",20,0,-16.81764100604777,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,0,25.578851038615127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",20,16,8.906308404406417,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",35,0,44.89099127293835,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",20,0,26.251792716020017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0.0, 'e': 0.0}",25,0,-13.91745896935618,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,True,"{'a': 0.0, 'e': 0.0}",30,0,18.533541476319265,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
46,True,"{'a': 0.0, 'e': 0.0}",25,0,29.578534853133167,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0.0, 'e': 0.0}",20,0,28.635390220761295,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0.0, 'e': 0.0}",20,0,26.558694949130857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,True,"{'a': 0.0, 'e': 0.0}",25,0,22.44515125537438,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.59052888043112,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
51,True,"{'a': 0.0, 'e': 0.0}",30,0,30.96560974443625,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
