trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.6967067093471654}",25,16,-34.875887421693925,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.3, 'e': -0.029199522301288815}",25,0,-109.01938412763698,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.3, 'e': -0.7373937155412458}",20,0,-27.76703140471043,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': -0.9982947757947531}",20,0,-42.09067738971269,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': -0.6536436208636119}",25,0,-15.188362684137338,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.08749898343944727}",20,0,26.82597432971801,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.3, 'e': 0.7755658785102502}",20,0,-50.05602665622646,"{0: 12, 1: 6, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.9931849187581926}",20,0,-83.9495557046547,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.6083513145322546}",20,0,-65.53150201894219,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': -0.14550003380861354}",30,0,-27.00381940937166,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': -0.811093014061656}",30,0,34.46100289778132,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': -0.9846878557941267}",25,0,29.383767926506078,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': -0.5609842574272288}",20,0,30.65977645296187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.20300486381875213}",20,0,25.279523396527324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.8438539587324921}",20,0,-99.91520817030089,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.3, 'e': 0.9728325656974354}",20,0,-145.05396780428478,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.3, 'e': 0.5117039924531475}",30,14,3.9210316155121574,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': -0.25981735621375585}",20,2,29.028640557543177,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.3, 'e': -0.873736983011081}",25,0,35.14952596862084,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
