trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,16,4.1974631221140255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.08214232582296,"{0: 8, 1: 5, 2: 2, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.83649606852023,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.70030421862083,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-168.50701743317782,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.1840086995828,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.10459929453134,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.1849082178621,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.55470507979376,"{0: 11, 1: 0, 2: 6, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.43958596951605,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.88007336685504,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.60551592441297,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-81.99456652366464,"{0: 17, 1: 7, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.7659365911392,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.35930666714313,"{0: 10, 1: 5, 2: 6, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.78336570051886,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.87301597521403,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.90973120644418,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.1700072660142,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.96661313426797,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-258.10793357548306,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-156.3964069986279,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.9525039030929,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.87527128201768,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,8,-52.11887509790738,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.11169656334295,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-131.23995916595152,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.82611809019136,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,12,-61.858300111486365,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-113.54772995630155,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
